,City,Station,Date,FromDate,ToDate,PM2.5,PM10,NO,NO2,NH3,SO2,CO,Benzene,Ozone,CH4,CO2,BlackCarbon,I1(PM2.5),I2(PM10),I3(NO),I4(NO2),I5(NH3),I6(SO2),I7(CO),I1(PM2.5).1,I2(PM10).1,I3(NO).1,I4(NO2).1,I5(NH3).1,I6(SO2).1,I7(CO).1,AQI
0,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",10/11/2020,10-11-202000:00,11-11-202000:00,28.85,289.36,70.61,58.47,174.3,3.01,0.2,5,13.72,,420.08,,28.85,239.36,70.61,58.47,149.5333333,3.01,0.2,1,1,1,1,1,1,1,239.36
1,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",11/11/2020,11-11-202000:00,12-11-202000:00,90.91,266.66,59.7,51.01,153.5,3.24,0.35,5,8.06,,417.61,,90.91,216.66,59.7,51.01,135.6666667,3.24,0.35,1,1,1,1,1,1,1,216.66
2,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",12/11/2020,12-11-202000:00,13-11-202000:00,26.19,237.63,76.37,92.88,157.16,8.28,1.11,5,22.12,,426.32,,26.19,191.7533333,76.37,92.88,138.1066667,8.28,1.11,1,1,1,1,1,1,1,191.7533333
3,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",13/11/2020,13-11-202000:00,14-11-202000:00,27.24,243.11,86.95,45.14,185.24,3.26,0.76,5,8.11,,433.62,,27.24,195.4066667,86.95,45.14,156.8266667,3.26,0.76,1,1,1,1,1,1,1,195.4066667
4,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",14/11/2020,14-11-202000:00,15-11-202000:00,27.93,180.92,62.56,68.73,131.72,7.24,1.8,5,19.06,,323.93,,27.93,153.9466667,62.56,68.73,121.1466667,7.24,1.8,1,1,1,1,1,1,1,153.9466667
5,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",15/11/2020,15-11-202000:00,16-11-202000:00,28.38,208.86,61.09,35.03,126.3,2.71,2.42,5,9.4,,407.87,,28.38,172.5733333,61.09,35.03,117.5333333,2.71,2.42,1,1,1,1,1,1,1,172.5733333
6,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",16/11/2020,16-11-202000:00,17-11-202000:00,28.93,196.47,43.07,39.65,119.1,2.79,2.72,5,10.28,,404.63,,28.93,164.3133333,43.07,39.65,112.7333333,2.79,2.72,1,1,1,1,1,1,1,164.3133333
7,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",17/11/2020,17-11-202000:00,18-11-202000:00,28.68,222.52,61.54,78.31,123.93,2.8,2.35,5,16.79,,409.39,,28.68,181.68,61.54,78.31,115.9533333,2.8,2.35,1,1,1,1,1,1,1,181.68
8,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",18/11/2020,18-11-202000:00,19-11-202000:00,28.37,212.02,49.09,42.56,123.41,2.76,2.3,5,11.14,,409.68,,28.37,174.68,49.09,42.56,115.6066667,2.76,2.3,1,1,1,1,1,1,1,174.68
9,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",19/11/2020,19-11-202000:00,20-11-202000:00,65.68,208.45,45.78,85.02,119.31,2.07,2.22,5,8.58,,406.73,,65.68,172.3,45.78,85.02,112.8733333,2.07,2.22,1,1,1,1,1,1,1,172.3
